ID,Bezeichner,Footprint,Stückzahl,Bezeichnung,Anbieter und Referenz
1,"J16,J11",PinHeader_1x01_P2.54mm_Horizontal,2,PWR_GND,
2,J15,PinHeader_1x02_P2.54mm_Horizontal,1,Conn_01x02_Pin,
3,J14,PinHeader_1x01_P2.54mm_Horizontal,1,ISP_SCK,
4,J13,PinHeader_1x01_P2.54mm_Horizontal,1,ISP_RST,
5,J12,PinHeader_1x02_P2.54mm_Horizontal,1,ISP_MISO_MOSI,
6,J10,PinHeader_1x01_P2.54mm_Horizontal,1,PWR_5V,
7,J9,PinHeader_1x01_P2.54mm_Horizontal,1,DBZ_Switch_MCU,
8,J8,PinHeader_1x01_P2.54mm_Horizontal,1,DBZ_Switch_GND,
9,J7,PinHeader_1x01_P2.54mm_Horizontal,1,Teach_Button_VCC,
10,J6,PinHeader_1x01_P2.54mm_Horizontal,1,Teach_Button_MCU,
11,J5,PinHeader_1x01_P2.54mm_Horizontal,1,TPSi_VCC,
12,J4,PinHeader_1x01_P2.54mm_Horizontal,1,UART,
13,"J2,J1",PinHeader_1x01_P2.54mm_Horizontal,2,Conn_01x01_Socket,
14,C3,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,22pf,
15,D1,LED_D3.0mm,1,LED,
16,J3,PinHeader_1x05_P2.54mm_Vertical,1,H5V4D,
17,"C8,C7,C1",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,3,100nF,
18,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,10k,
19,Y1,Crystal_SMD_HC49-SD_HandSoldering,1,20Hz,
20,U2,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
21,"C6,C5",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,1uF,
22,D2,D_SMB_Handsoldering,1,SM6T100A,
23,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,22k,
24,C4,CP_EIA-6032-15_Kemet-U_Pad2.25x2.35mm_HandSolder,1,"4,7uF",
25,C2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,22pF,
26,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,"4,7k",
27,R5,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,R,
28,"R2,R6",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,1K,
29,*,H5V4D,1,H5V4D,
